x-axis,1,2,3
second,Volt,Volt,Volt
-1.0165000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0160000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0155000E+00,+18.7500E-03,+47.5000E-03,+84.3750E-03
-1.0150000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0145000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0140000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0135000E+00,+34.3750E-03,+53.7500E-03,+53.1250E-03
-1.0130000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0125000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0120000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0115000E+00,+65.6250E-03,+35.0000E-03,+68.7500E-03
-1.0110000E+00,+65.6250E-03,+41.2500E-03,+84.3750E-03
-1.0105000E+00,+81.2500E-03,+53.7500E-03,+84.3750E-03
-1.0100000E+00,+65.6250E-03,+53.7500E-03,+84.3750E-03
-1.0095000E+00,+81.2500E-03,+53.7500E-03,+68.7500E-03
-1.0090000E+00,+65.6250E-03,+47.5000E-03,+53.1250E-03
-1.0085000E+00,+65.6250E-03,+53.7500E-03,+84.3750E-03
-1.0080000E+00,+65.6250E-03,+47.5000E-03,+68.7500E-03
-1.0075000E+00,+65.6250E-03,+35.0000E-03,+84.3750E-03
-1.0070000E+00,+50.0000E-03,+41.2500E-03,+53.1250E-03
-1.0065000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0060000E+00,+50.0000E-03,+53.7500E-03,+68.7500E-03
-1.0055000E+00,+50.0000E-03,+41.2500E-03,+53.1250E-03
-1.0050000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0045000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0040000E+00,+50.0000E-03,+35.0000E-03,+68.7500E-03
-1.0035000E+00,+34.3750E-03,+47.5000E-03,+68.7500E-03
-1.0030000E+00,+50.0000E-03,+47.5000E-03,+84.3750E-03
-1.0025000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0020000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0015000E+00,+50.0000E-03,+47.5000E-03,+84.3750E-03
-1.0010000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0005000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0000000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-999.5000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-999.0000E-03,+34.3750E-03,+41.2500E-03,+68.7500E-03
-998.5000E-03,+18.7500E-03,+41.2500E-03,+53.1250E-03
-998.0000E-03,+34.3750E-03,+35.0000E-03,+100.0000E-03
-997.5000E-03,+3.1250E-03,+35.0000E-03,+84.3750E-03
-997.0000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-996.5000E-03,+3.1250E-03,+47.5000E-03,+68.7500E-03
-996.0000E-03,+18.7500E-03,+47.5000E-03,+68.7500E-03
-995.5000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-995.0000E-03,+18.7500E-03,+47.5000E-03,+68.7500E-03
-994.5000E-03,+18.7500E-03,+41.2500E-03,+100.0000E-03
-994.0000E-03,+34.3750E-03,+53.7500E-03,+68.7500E-03
-993.5000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-993.0000E-03,+18.7500E-03,+47.5000E-03,+37.5000E-03
-992.5000E-03,+34.3750E-03,+47.5000E-03,+84.3750E-03
-992.0000E-03,+3.1250E-03,+35.0000E-03,+68.7500E-03
-991.5000E-03,+34.3750E-03,+41.2500E-03,+68.7500E-03
-991.0000E-03,+34.3750E-03,+35.0000E-03,+100.0000E-03
-990.5000E-03,+34.3750E-03,+41.2500E-03,+53.1250E-03
-990.0000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-989.5000E-03,+34.3750E-03,+47.5000E-03,+68.7500E-03
-989.0000E-03,+34.3750E-03,+41.2500E-03,+84.3750E-03
-988.5000E-03,+18.7500E-03,+47.5000E-03,+53.1250E-03
-988.0000E-03,+18.7500E-03,+47.5000E-03,+68.7500E-03
-987.5000E-03,+50.0000E-03,+35.0000E-03,+84.3750E-03
-987.0000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-986.5000E-03,+34.3750E-03,+53.7500E-03,+68.7500E-03
-986.0000E-03,+18.7500E-03,+35.0000E-03,+68.7500E-03
-985.5000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-985.0000E-03,+18.7500E-03,+41.2500E-03,+68.7500E-03
-984.5000E-03,+18.7500E-03,+47.5000E-03,+84.3750E-03
-984.0000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-983.5000E-03,+18.7500E-03,+47.5000E-03,+53.1250E-03
-983.0000E-03,+3.1250E-03,+41.2500E-03,+84.3750E-03
-982.5000E-03,+18.7500E-03,+41.2500E-03,+84.3750E-03
-982.0000E-03,+34.3750E-03,+47.5000E-03,+84.3750E-03
