"PC_w0","PC_w1","PC_w2","PC_AG","PC_NG","PC_SG","PV_w0","PV_w1","PV_w2","PV_AG","PV_GG","error","cv_PC","cv_PV","syn_PC","syn_PV"
"[3, 131]","[3, 93]","[3, 30]","[3, 164]","[3, 108]","[3, 225]","[3, 51]","[3, 65]","[3, 71]","[3, 168]","[3, 23]",0.694,0,0,0.18,0.6
"[3, 130]","[3, 193]","[3, 203]","[3, 240]","[3, 188]","[3, 205]","[3, 232]","[3, 144]","[3, 105]","[3, 172]","[3, 15]",0.694,0,0,0.18,0.59
"[3, 145]","[3, 39]","[3, 127]","[3, 222]","[3, 226]","[3, 249]","[3, 226]","[3, 188]","[3, 169]","[3, 254]","[3, 45]",0.694,0.01,0,0.18,0.61
"[3, 132]","[3, 137]","[3, 102]","[3, 228]","[3, 209]","[3, 82]","[3, 194]","[3, 253]","[3, 182]","[3, 185]","[3, 34]",0.694,0,0,0.18,0.59
"[3, 131]","[3, 97]","[3, 220]","[3, 80]","[3, 178]","[3, 136]","[3, 226]","[3, 177]","[3, 167]","[3, 200]","[3, 59]",0.6945,0,0,0.19,0.59
"[3, 161]","[3, 70]","[3, 197]","[3, 18]","[3, 133]","[3, 68]","[3, 30]","[3, 131]","[3, 119]","[3, 234]","[3, 21]",0.6945,0.01,0,0.18,0.6
"[3, 97]","[3, 75]","[3, 140]","[3, 136]","[3, 250]","[3, 175]","[3, 236]","[3, 236]","[3, 25]","[3, 167]","[3, 113]",0.6945,0,0,0.18,0.6
"[3, 146]","[3, 42]","[3, 119]","[3, 105]","[3, 123]","[3, 206]","[3, 119]","[3, 190]","[3, 35]","[3, 242]","[3, 234]",0.6945,0.01,0,0.18,0.61
"[3, 91]","[3, 22]","[3, 73]","[3, 75]","[3, 49]","[3, 192]","[3, 228]","[3, 138]","[3, 39]","[3, 213]","[3, 198]",0.6945,0,0.01,0.19,0.6
"[3, 75]","[3, 160]","[3, 81]","[3, 245]","[3, 68]","[3, 33]","[3, 168]","[3, 63]","[3, 126]","[3, 211]","[3, 201]",0.695,0,0.02,0.22,0.57
"[3, 94]","[3, 79]","[3, 18]","[3, 196]","[3, 156]","[3, 15]","[3, 81]","[3, 142]","[3, 188]","[3, 203]","[3, 39]",0.695,0,0,0.18,0.6
"[3, 96]","[3, 252]","[3, 246]","[3, 77]","[3, 191]","[3, 71]","[3, 166]","[3, 168]","[3, 40]","[3, 167]","[3, 88]",0.6955,0,0,0.18,0.6
"[3, 135]","[3, 240]","[3, 147]","[3, 213]","[3, 97]","[3, 98]","[3, 120]","[3, 199]","[3, 33]","[3, 167]","[3, 20]",0.6955,0,0,0.18,0.6
"[3, 122]","[3, 150]","[3, 165]","[3, 107]","[3, 177]","[3, 186]","[3, 245]","[3, 213]","[3, 83]","[3, 215]","[3, 86]",0.6955,0,0,0.18,0.6
"[3, 119]","[3, 33]","[3, 197]","[3, 193]","[3, 120]","[3, 175]","[3, 76]","[3, 23]","[3, 54]","[3, 245]","[3, 62]",0.6955,0,0,0.18,0.61
"[3, 69]","[3, 245]","[3, 221]","[3, 186]","[3, 25]","[3, 165]","[3, 82]","[3, 49]","[3, 19]","[3, 113]","[3, 34]",0.6955,0.03,0,0.2,0.61
"[3, 72]","[3, 50]","[3, 169]","[3, 91]","[3, 22]","[3, 207]","[3, 62]","[3, 19]","[3, 29]","[3, 173]","[3, 202]",0.6955,0.04,0.4,0.61,0.61
"[3, 122]","[3, 227]","[3, 246]","[3, 112]","[3, 125]","[3, 71]","[3, 35]","[3, 137]","[3, 44]","[3, 218]","[3, 203]",0.6955,0,0,0.18,0.6
"[3, 133]","[3, 80]","[3, 106]","[3, 180]","[3, 163]","[3, 237]","[3, 214]","[3, 250]","[3, 65]","[3, 142]","[3, 203]",0.6955,0,0.01,0.21,0.58
"[3, 140]","[3, 72]","[3, 134]","[3, 210]","[3, 127]","[3, 200]","[3, 47]","[3, 231]","[3, 39]","[3, 225]","[3, 85]",0.696,0.01,0,0.18,0.61
"[3, 128]","[3, 55]","[3, 95]","[3, 243]","[3, 125]","[3, 195]","[3, 219]","[3, 93]","[3, 171]","[3, 239]","[3, 34]",0.696,0,0,0.18,0.61
"[3, 157]","[3, 111]","[3, 44]","[3, 187]","[3, 166]","[3, 55]","[3, 102]","[3, 182]","[3, 175]","[3, 178]","[3, 28]",0.6965,0.01,0,0.18,0.61
"[3, 88]","[3, 198]","[3, 121]","[3, 144]","[3, 156]","[3, 215]","[3, 181]","[3, 122]","[3, 101]","[3, 242]","[3, 106]",0.6965,0,0,0.18,0.6
"[3, 138]","[3, 253]","[3, 217]","[3, 138]","[3, 115]","[3, 159]","[3, 131]","[3, 79]","[3, 64]","[3, 213]","[3, 66]",0.6965,0,0,0.18,0.6
"[3, 112]","[3, 140]","[3, 22]","[3, 147]","[3, 18]","[3, 92]","[3, 80]","[3, 251]","[3, 144]","[3, 212]","[3, 17]",0.6965,0,0,0.18,0.61
"[3, 152]","[3, 110]","[3, 202]","[3, 108]","[3, 241]","[3, 206]","[3, 243]","[3, 240]","[3, 52]","[3, 228]","[3, 101]",0.6965,0.01,0,0.18,0.61
"[3, 101]","[3, 128]","[3, 166]","[3, 118]","[3, 72]","[3, 229]","[3, 84]","[3, 27]","[3, 84]","[3, 253]","[3, 92]",0.697,0,0,0.18,0.6
"[3, 114]","[3, 178]","[3, 88]","[3, 249]","[3, 89]","[3, 174]","[3, 189]","[3, 139]","[3, 244]","[3, 253]","[3, 17]",0.697,0,0,0.18,0.61
"[3, 92]","[3, 198]","[3, 44]","[3, 28]","[3, 86]","[3, 182]","[3, 184]","[3, 54]","[3, 207]","[3, 251]","[3, 60]",0.697,0.01,0.01,0.19,0.62
"[3, 159]","[3, 149]","[3, 32]","[3, 115]","[3, 183]","[3, 151]","[3, 27]","[3, 33]","[3, 25]","[3, 188]","[3, 152]",0.697,0.01,0,0.18,0.61
"[3, 112]","[3, 241]","[3, 37]","[3, 45]","[3, 217]","[3, 106]","[3, 232]","[3, 241]","[3, 82]","[3, 214]","[3, 79]",0.697,0,0,0.19,0.6
"[3, 114]","[3, 251]","[3, 246]","[3, 129]","[3, 221]","[3, 146]","[3, 135]","[3, 75]","[3, 36]","[3, 195]","[3, 22]",0.697,0,0,0.18,0.61
"[3, 118]","[3, 185]","[3, 253]","[3, 79]","[3, 215]","[3, 175]","[3, 38]","[3, 110]","[3, 103]","[3, 179]","[3, 46]",0.6975,0,0,0.19,0.6
"[3, 87]","[3, 183]","[3, 180]","[3, 211]","[3, 227]","[3, 29]","[3, 52]","[3, 152]","[3, 28]","[3, 193]","[3, 124]",0.6975,0,0,0.18,0.61
"[3, 147]","[3, 167]","[3, 229]","[3, 230]","[3, 135]","[3, 78]","[3, 238]","[3, 182]","[3, 24]","[3, 249]","[3, 142]",0.6975,0.01,0,0.18,0.62
"[3, 94]","[3, 121]","[3, 148]","[3, 227]","[3, 234]","[3, 232]","[3, 148]","[3, 86]","[3, 65]","[3, 210]","[3, 32]",0.698,0,0,0.18,0.61
"[3, 127]","[3, 190]","[3, 46]","[3, 62]","[3, 186]","[3, 238]","[3, 144]","[3, 203]","[3, 58]","[3, 247]","[3, 78]",0.698,0,0,0.18,0.61
"[3, 107]","[3, 92]","[3, 179]","[3, 39]","[3, 105]","[3, 37]","[3, 158]","[3, 199]","[3, 147]","[3, 245]","[3, 46]",0.698,0,0,0.19,0.6
"[3, 92]","[3, 253]","[3, 191]","[3, 125]","[3, 144]","[3, 161]","[3, 48]","[3, 36]","[3, 103]","[3, 205]","[3, 42]",0.6985,0,0,0.19,0.61
"[3, 71]","[3, 31]","[3, 120]","[3, 38]","[3, 184]","[3, 52]","[3, 228]","[3, 190]","[3, 215]","[3, 136]","[3, 33]",0.6985,0.03,0.28,0.46,0.65
"[3, 102]","[3, 161]","[3, 130]","[3, 133]","[3, 175]","[3, 143]","[3, 36]","[3, 67]","[3, 50]","[3, 235]","[3, 26]",0.6985,0,0,0.18,0.61
"[3, 143]","[3, 58]","[3, 171]","[3, 202]","[3, 237]","[3, 149]","[3, 40]","[3, 224]","[3, 112]","[3, 237]","[3, 62]",0.6985,0.01,0,0.19,0.61
"[3, 81]","[3, 61]","[3, 26]","[3, 228]","[3, 110]","[3, 93]","[3, 174]","[3, 69]","[3, 128]","[3, 236]","[3, 100]",0.699,0,0,0.19,0.61
"[3, 93]","[3, 250]","[3, 39]","[3, 129]","[3, 230]","[3, 47]","[3, 205]","[3, 84]","[3, 171]","[3, 176]","[3, 23]",0.699,0,0,0.19,0.61
"[3, 64]","[3, 210]","[3, 15]","[3, 223]","[3, 229]","[3, 101]","[3, 82]","[3, 228]","[3, 129]","[3, 60]","[3, 27]",0.6995,0.01,0.06,0.24,0.63
