PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[2, 104]","[1, 100]","[4, 161]","[3, 94]","[2, 238]","[2, 49]","[2, 13]","[1, 119]","[1, 100]","[3, 45]","[0, 124]",1,
"[2, 152]","[1, 28]","[4, 173]","[4, 64]","[1, 109]","[1, 196]","[1, 239]","[1, 89]","[0, 137]","[4, 122]","[1, 194]",1,
"[2, 234]","[2, 121]","[3, 47]","[3, 135]","[1, 216]","[2, 74]","[1, 215]","[0, 53]","[1, 52]","[4, 29]","[0, 125]",1,
"[2, 229]","[2, 212]","[3, 221]","[3, 170]","[2, 39]","[2, 226]","[1, 240]","[1, 202]","[0, 128]","[4, 26]","[1, 61]",1,
"[3, 29]","[2, 24]","[4, 163]","[4, 122]","[2, 16]","[2, 89]","[2, 53]","[0, 133]","[0, 85]","[4, 206]","[1, 102]",1,
"[3, 185]","[2, 173]","[3, 102]","[4, 34]","[2, 122]","[2, 126]","[1, 207]","[0, 78]","[1, 154]","[3, 226]","[1, 193]",1,0.224
"[3, 223]","[1, 47]","[3, 189]","[4, 205]","[1, 239]","[1, 44]","[1, 218]","[0, 91]","[0, 143]","[3, 172]","[1, 127]",1,0.227
"[2, 146]","[2, 168]","[3, 103]","[3, 127]","[1, 81]","[2, 41]","[1, 216]","[1, 225]","[1, 183]","[3, 79]","[0, 144]",1,
"[2, 178]","[2, 195]","[4, 40]","[3, 20]","[1, 33]","[2, 35]","[2, 82]","[1, 232]","[1, 196]","[3, 53]","[1, 101]",1,
"[2, 215]","[2, 44]","[4, 181]","[3, 63]","[2, 31]","[1, 36]","[1, 202]","[0, 82]","[0, 203]","[3, 94]","[0, 177]",1,
"[3, 226]","[2, 89]","[3, 230]","[4, 224]","[2, 39]","[2, 81]","[2, 16]","[1, 125]","[0, 139]","[3, 171]","[1, 177]",1,0.206
"[3, 203]","[2, 154]","[3, 23]","[4, 52]","[2, 179]","[1, 121]","[1, 194]","[1, 157]","[1, 112]","[3, 165]","[1, 22]",1,0.223
"[2, 31]","[1, 223]","[3, 174]","[3, 240]","[1, 231]","[1, 93]","[1, 23]","[0, 97]","[2, 138]","[4, 164]","[1, 118]",1,
"[2, 208]","[2, 123]","[3, 167]","[3, 159]","[1, 107]","[2, 65]","[2, 119]","[1, 47]","[2, 187]","[4, 97]","[0, 102]",1,
"[2, 227]","[2, 165]","[4, 240]","[3, 46]","[1, 174]","[2, 75]","[2, 50]","[1, 150]","[2, 42]","[4, 206]","[1, 46]",1,
"[2, 188]","[2, 180]","[3, 246]","[4, 121]","[1, 247]","[2, 152]","[2, 111]","[0, 87]","[0, 226]","[3, 105]","[1, 48]",1,
"[2, 100]","[1, 185]","[3, 26]","[4, 131]","[1, 234]","[2, 134]","[1, 85]","[0, 238]","[0, 149]","[3, 163]","[1, 55]",1,
"[3, 214]","[1, 13]","[3, 97]","[4, 146]","[1, 249]","[1, 90]","[2, 45]","[0, 118]","[0, 127]","[4, 22]","[1, 13]",1,0.213
"[2, 43]","[1, 22]","[4, 108]","[4, 219]","[1, 218]","[1, 156]","[2, 155]","[0, 144]","[2, 34]","[3, 126]","[1, 170]",1,
"[2, 240]","[2, 13]","[3, 69]","[4, 163]","[2, 104]","[1, 188]","[1, 58]","[0, 77]","[2, 32]","[4, 128]","[1, 86]",1,
"[2, 148]","[1, 73]","[4, 140]","[4, 12]","[1, 229]","[2, 93]","[1, 62]","[0, 197]","[2, 198]","[4, 212]","[1, 60]",1,
"[3, 178]","[1, 195]","[3, 49]","[4, 189]","[2, 197]","[2, 216]","[2, 170]","[0, 49]","[0, 18]","[4, 26]","[1, 210]",1,0.229
"[2, 156]","[1, 129]","[3, 115]","[4, 17]","[1, 125]","[1, 116]","[2, 70]","[0, 121]","[1, 248]","[3, 13]","[1, 236]",1,
"[2, 204]","[2, 226]","[3, 110]","[4, 95]","[1, 17]","[1, 75]","[2, 33]","[1, 145]","[2, 65]","[4, 241]","[0, 161]",1,
"[3, 129]","[2, 29]","[4, 211]","[3, 87]","[2, 221]","[1, 118]","[1, 50]","[1, 64]","[2, 189]","[4, 211]","[1, 125]",1,0.3
"[2, 176]","[2, 166]","[3, 162]","[4, 45]","[2, 84]","[1, 174]","[1, 89]","[1, 60]","[0, 16]","[4, 93]","[0, 55]",1,
"[3, 222]","[1, 52]","[4, 137]","[4, 61]","[2, 186]","[1, 224]","[1, 214]","[1, 23]","[0, 252]","[3, 236]","[1, 78]",1,0.232
"[2, 215]","[1, 43]","[3, 184]","[4, 97]","[1, 147]","[1, 22]","[2, 62]","[0, 75]","[2, 39]","[3, 123]","[0, 200]",1,
"[2, 97]","[1, 90]","[3, 198]","[4, 188]","[2, 190]","[1, 61]","[1, 92]","[1, 49]","[2, 89]","[4, 37]","[0, 150]",1,
"[3, 195]","[2, 94]","[3, 39]","[3, 243]","[2, 218]","[1, 225]","[2, 128]","[0, 16]","[0, 121]","[4, 212]","[0, 126]",1,0.24
"[2, 175]","[2, 44]","[3, 40]","[3, 251]","[2, 145]","[1, 77]","[2, 58]","[1, 120]","[0, 159]","[3, 70]","[0, 117]",1,
"[2, 174]","[1, 158]","[4, 254]","[4, 186]","[1, 219]","[1, 182]","[1, 159]","[0, 170]","[0, 110]","[4, 29]","[0, 168]",1,
"[3, 208]","[1, 55]","[3, 128]","[3, 53]","[2, 193]","[1, 179]","[2, 212]","[1, 24]","[1, 135]","[3, 164]","[1, 167]",1,0.216
"[2, 38]","[2, 252]","[4, 240]","[4, 50]","[1, 74]","[2, 119]","[2, 107]","[1, 249]","[0, 57]","[4, 228]","[0, 116]",1,
"[2, 150]","[2, 68]","[4, 190]","[4, 48]","[1, 78]","[1, 178]","[1, 253]","[0, 249]","[0, 252]","[4, 182]","[0, 75]",1,
"[2, 252]","[1, 171]","[4, 232]","[3, 160]","[1, 131]","[2, 101]","[1, 58]","[1, 102]","[2, 237]","[3, 143]","[1, 188]",1,
"[3, 115]","[2, 104]","[3, 215]","[3, 251]","[2, 162]","[2, 87]","[1, 115]","[0, 146]","[2, 216]","[4, 194]","[0, 235]",1,0.312
"[2, 228]","[2, 211]","[3, 223]","[3, 51]","[2, 100]","[2, 207]","[2, 45]","[0, 192]","[1, 147]","[3, 153]","[1, 248]",1,
"[3, 166]","[1, 44]","[3, 121]","[4, 214]","[1, 132]","[1, 32]","[2, 123]","[0, 181]","[1, 64]","[3, 222]","[0, 227]",1,0.251
"[3, 176]","[2, 164]","[4, 55]","[3, 231]","[2, 193]","[1, 204]","[1, 156]","[1, 231]","[1, 171]","[3, 72]","[0, 144]",1,0.22
"[2, 218]","[1, 137]","[4, 144]","[4, 122]","[2, 114]","[2, 154]","[1, 129]","[1, 242]","[1, 38]","[4, 59]","[0, 182]",1,
